time_based_rssi,label
"2026-03-08 12:44:18.351,-56,,-60,-59;2026-03-08 12:44:18.558,,-72,,;2026-03-08 12:44:18.753,-55,,,;2026-03-08 12:44:18.949,,-59,,;2026-03-08 12:44:19.142,-60,,,;2026-03-08 12:44:19.338,-67,-57,,;2026-03-08 12:44:19.532,-66,,,;2026-03-08 12:44:19.765,-55,-67,,;2026-03-08 12:44:19.967,-55,-68,-69,;2026-03-08 12:44:20.172,-60,-58,-59,-65;2026-03-08 12:44:20.368,-59,-69,-59,-60;2026-03-08 12:44:20.575,-67,,,;2026-03-08 12:44:20.576,,-58,-59,-67;2026-03-08 12:44:21.152,-60,-59,-60,-64;2026-03-08 12:44:21.730,-55,-66,-68,-62;2026-03-08 12:44:22.118,,-59,,-62;2026-03-08 12:44:22.119,-59,,-59,;2026-03-08 12:44:22.695,,-56,-55,-63;2026-03-08 12:44:22.890,-66,,,;2026-03-08 12:44:23.086,-55,-67,,;2026-03-08 12:44:23.278,-59,-56,,",1
"2026-03-08 12:48:15.781,-59,-54,-55,-66;2026-03-08 12:48:15.783,-59,-54,-59,-58;2026-03-08 12:48:16.182,-69,,-55,;2026-03-08 12:48:16.381,,-54,,-70;2026-03-08 12:48:16.578,-70,,-59,;2026-03-08 12:48:16.775,,,,-64;2026-03-08 12:48:16.977,-71,-54,,;2026-03-08 12:48:17.240,-73,-59,-56,-69;2026-03-08 12:48:17.467,-59,-54,-60,-60;2026-03-08 12:48:17.680,-74,-73,-58,-62;2026-03-08 12:48:17.899,-69,-59,-57,-72;2026-03-08 12:48:18.118,-61,-55,-62,-61;2026-03-08 12:48:18.323,,,,-72;2026-03-08 12:48:18.524,-62,-55,-59,;2026-03-08 12:48:18.922,-71,-59,-57,-62;2026-03-08 12:48:19.334,-68,-75,-57,-76;2026-03-08 12:48:19.763,-61,-54,-62,-61;2026-03-08 12:48:20.165,-69,-54,-58,-62;2026-03-08 12:48:20.394,-60,-54,-61,-61;2026-03-08 12:48:20.596,,-58,-58,-74",1
"2026-03-08 12:44:09.014,-64,,-68,-66;2026-03-08 12:44:09.209,,,,-66;2026-03-08 12:44:09.210,-60,,-67,;2026-03-08 12:44:09.403,-61,-65,-75,-68;2026-03-08 12:44:09.610,-66,,,-69;2026-03-08 12:44:09.998,-60,-70,,;2026-03-08 12:44:10.197,,,-71,-64;2026-03-08 12:44:10.429,-70,-70,,;2026-03-08 12:44:10.632,,,-72,-63;2026-03-08 12:44:10.829,-72,-71,,;2026-03-08 12:44:11.228,,-66,-69,-68;2026-03-08 12:44:11.422,-66,,,;2026-03-08 12:44:11.617,,-67,-72,-64;2026-03-08 12:44:11.810,-60,,,;2026-03-08 12:44:12.025,,-70,,;2026-03-08 12:44:12.222,-69,-67,-72,-71;2026-03-08 12:44:12.414,-66,-66,-75,-64;2026-03-08 12:44:12.612,-66,-66,-72,-63;2026-03-08 12:44:12.836,-66,-71,-76,-72;2026-03-08 12:44:13.040,-66,-71,-76,-73;2026-03-08 12:44:13.238,-60,-67,-70,-71;2026-03-08 12:44:13.449,,-68,-70,;2026-03-08 12:44:13.650,-66,-72,-75,-64",1
"2026-03-08 12:48:46.933,-65,-61,-64,-77;2026-03-08 12:48:47.341,-59,-57,-60,-64;2026-03-08 12:48:47.735,-66,-65,-61,-62;2026-03-08 12:48:47.969,,-62,-66,-67;2026-03-08 12:48:48.184,-64,-66,-66,-68;2026-03-08 12:48:48.427,-63,-57,-59,-64;2026-03-08 12:48:48.653,-67,-57,-69,-70;2026-03-08 12:48:48.884,-60,-57,-59,-70;2026-03-08 12:48:49.095,-58,-67,-64,-63;2026-03-08 12:48:49.306,-58,-69,-70,-70;2026-03-08 12:48:49.307,-58,,-62,;2026-03-08 12:48:49.509,-58,-68,-69,-69;2026-03-08 12:48:49.721,-57,-57,-59,-69;2026-03-08 12:48:49.924,,-58,-58,;2026-03-08 12:48:50.123,,,-58,;2026-03-08 12:48:50.124,-58,-57,,-69;2026-03-08 12:48:50.543,-56,-57,-69,-69;2026-03-08 12:48:51.000,-58,-67,,-68;2026-03-08 12:48:51.001,,,-62,;2026-03-08 12:48:51.411,-57,-61,-69,-67",1
"2026-03-08 12:43:47.483,-73,-69,-68,-62;2026-03-08 12:43:47.484,-68,-57,-57,-67;2026-03-08 12:43:47.485,-71,-57,-58,-70;2026-03-08 12:43:47.486,-68,-57,-59,-67;2026-03-08 12:43:47.487,-69,-57,-64,-64;2026-03-08 12:43:47.680,-66,-56,-63,;2026-03-08 12:43:48.068,-67,-57,,;2026-03-08 12:43:48.287,,,-59,-63;2026-03-08 12:43:48.484,-60,-55,-59,-63;2026-03-08 12:43:48.680,-67,-57,-59,-64;2026-03-08 12:43:48.883,-66,-55,-68,-63;2026-03-08 12:43:49.077,-61,-57,-68,;2026-03-08 12:43:49.272,-67,-56,-59,-63;2026-03-08 12:43:49.469,-65,-57,-69,-64;2026-03-08 12:43:49.666,-60,-56,-60,-75;2026-03-08 12:43:49.885,-61,-57,-61,-65;2026-03-08 12:43:50.081,,,,-69;2026-03-08 12:43:50.277,-61,-56,-58,;2026-03-08 12:43:50.659,-68,-57,-61,-65;2026-03-08 12:43:50.852,-69,-56,-58,-67;2026-03-08 12:43:51.253,-65,-57,-61,-70;2026-03-08 12:43:51.642,-70,-56,-68,-68;2026-03-08 12:43:52.217,-67,-55,-57,-66",1
"2026-03-08 12:47:41.060,,-72,-64,-62;2026-03-08 12:47:41.458,,-68,,-67;2026-03-08 12:47:41.657,,,-64,;2026-03-08 12:47:41.857,,-67,,-70;2026-03-08 12:47:42.083,-69,-67,-67,-63;2026-03-08 12:47:42.311,,,-70,-64;2026-03-08 12:47:42.525,-78,-73,-68,-63;2026-03-08 12:47:42.742,-68,-68,-67,-64;2026-03-08 12:47:42.982,-78,-78,-64,-64;2026-03-08 12:47:43.179,-69,-67,-63,-70;2026-03-08 12:47:43.376,,-76,-62,-64;2026-03-08 12:47:43.573,-77,-71,,;2026-03-08 12:47:43.769,,,-61,;2026-03-08 12:47:43.770,,-67,,-63;2026-03-08 12:47:43.979,-74,-66,-60,-62;2026-03-08 12:47:44.470,-68,-66,-61,-70;2026-03-08 12:47:44.691,-72,,,-63;2026-03-08 12:47:44.931,,-66,-60,;2026-03-08 12:47:45.154,-68,,,-62;2026-03-08 12:47:45.362,,-79,-67,",1
"2026-03-08 12:40:38.873,-72,-67,-72,-67;2026-03-08 12:40:38.874,-65,-62,-66,-49;2026-03-08 12:40:38.875,-66,-63,-62,-57;2026-03-08 12:40:38.876,-66,-62,-73,-57;2026-03-08 12:40:38.877,-64,-60,-63,-48;2026-03-08 12:40:38.878,-57,-59,-65,-46;2026-03-08 12:40:38.879,-66,-60,-67,-48;2026-03-08 12:40:39.270,-55,-66,-71,-57;2026-03-08 12:40:39.658,,-67,-71,-50;2026-03-08 12:40:39.856,-65,,,;2026-03-08 12:40:40.062,-55,-61,-68,-47;2026-03-08 12:40:40.458,,-65,-73,;2026-03-08 12:40:40.649,-55,,,-51;2026-03-08 12:40:41.048,-64,-60,-69,-47;2026-03-08 12:40:41.242,-64,-60,-69,-51;2026-03-08 12:40:41.434,-55,-60,-69,-52;2026-03-08 12:40:41.623,-66,-60,-64,-57;2026-03-08 12:40:41.821,,,,-48;2026-03-08 12:40:41.822,-66,-60,-63,-57;2026-03-08 12:40:42.015,-55,-60,-73,-50;2026-03-08 12:40:42.224,-66,-65,-68,-57;2026-03-08 12:40:42.417,-55,-60,-63,-48;2026-03-08 12:40:42.608,-56,-60,-68,-48;2026-03-08 12:40:42.808,-54,-66,-73,-57;2026-03-08 12:40:43.001,,-59,-68,;2026-03-08 12:40:43.192,-65,,,;2026-03-08 12:40:43.382,,,-72,;2026-03-08 12:40:43.583,-54,-60,,-57",0
"2026-03-08 12:42:32.826,,-70,,;2026-03-08 12:42:32.827,,,-58,;2026-03-08 12:42:33.212,,,-60,-55;2026-03-08 12:42:33.403,-74,-69,,;2026-03-08 12:42:33.606,,-66,,-54;2026-03-08 12:42:33.815,-74,,,;2026-03-08 12:42:34.010,,,,-54;2026-03-08 12:42:34.212,-68,-68,-58,;2026-03-08 12:42:34.421,,-66,-67,-53;2026-03-08 12:42:34.616,,,-57,-54;2026-03-08 12:42:34.617,,-71,-59,-52;2026-03-08 12:42:34.812,,-67,-57,-54;2026-03-08 12:42:35.008,,-67,-64,-52;2026-03-08 12:42:35.409,,-67,-64,-52;2026-03-08 12:42:35.797,,-71,-57,-50;2026-03-08 12:42:36.010,-71,,,;2026-03-08 12:42:36.209,,-67,-67,;2026-03-08 12:42:36.407,,,,-52;2026-03-08 12:42:36.607,,-69,-60,;2026-03-08 12:42:36.801,,-67,-66,-50;2026-03-08 12:42:36.996,,-67,-65,-50;2026-03-08 12:42:37.207,,-66,-58,-55;2026-03-08 12:42:37.403,-75,-69,-60,-52;2026-03-08 12:42:37.599,-69,-66,-59,-50",0
"2026-03-08 12:38:40.410,-72,-63,-75,-47;2026-03-08 12:38:40.411,-68,-66,-72,-46;2026-03-08 12:38:40.606,-65,-64,-68,-46;2026-03-08 12:38:40.798,-70,-65,-74,-49;2026-03-08 12:38:40.986,-70,-65,-75,-49;2026-03-08 12:38:41.179,,-65,,;2026-03-08 12:38:41.376,-70,-64,-68,-46;2026-03-08 12:38:41.577,-70,-64,-75,-46;2026-03-08 12:38:41.772,-71,,-80,-46;2026-03-08 12:38:41.965,-70,-64,-75,-45;2026-03-08 12:38:42.398,,,-74,;2026-03-08 12:38:42.399,-68,-65,,-49;2026-03-08 12:38:42.787,-69,-65,-74,;2026-03-08 12:38:42.788,,,,-50;2026-03-08 12:38:43.177,-69,-64,-68,-47;2026-03-08 12:38:43.569,-69,-65,-74,-50;2026-03-08 12:38:43.974,-73,-65,-79,-46;2026-03-08 12:38:44.588,-72,-64,-74,-67;2026-03-08 12:38:44.992,-68,-65,-75,-50",0
"2026-03-08 12:43:57.489,-67,-73,,-63;2026-03-08 12:43:57.681,-65,,,-60;2026-03-08 12:43:57.874,,-79,,;2026-03-08 12:43:58.076,,,-68,-64;2026-03-08 12:43:58.275,-67,,,;2026-03-08 12:43:58.473,,-76,,;2026-03-08 12:43:58.669,-64,,-58,-62;2026-03-08 12:43:58.877,,-72,-59,;2026-03-08 12:43:59.072,-66,,,;2026-03-08 12:43:59.268,,-69,,-62;2026-03-08 12:43:59.269,,,-59,;2026-03-08 12:43:59.654,-65,-69,-66,;2026-03-08 12:44:00.051,-77,-69,-56,;2026-03-08 12:44:00.250,-65,-69,-60,;2026-03-08 12:44:00.446,-65,-67,-55,;2026-03-08 12:44:00.641,-66,-67,-60,;2026-03-08 12:44:00.836,-66,,,-63;2026-03-08 12:44:01.046,-66,-69,-67,-61;2026-03-08 12:44:01.245,-66,-70,-56,-61;2026-03-08 12:44:01.443,-66,,,;2026-03-08 12:44:01.829,,-69,-60,;2026-03-08 12:44:02.042,-77,,,;2026-03-08 12:44:02.238,,-69,-73,",1
